CH4,C2H6
2.204,14.175
2.229,14.972
2.238,15.35
2.255,15.914
2.27,16.671
2.288,17.15
2.294,17.579
2.276,16.789
2.197,13.924
2.144,11.979
2.118,11.092
2.108,10.182
2.103,10.293
2.105,10.458
2.1,10.332
2.096,9.939
2.091,9.621
2.086,9.563
2.087,9.92
2.084,9.52
2.084,9.406
2.083,9.484
2.084,9.638
2.085,9.551
2.085,9.518
2.086,9.608
2.088,9.678
2.087,9.985
2.087,9.665
2.087,9.71
2.086,9.875
2.086,9.348
2.084,9.601
2.084,9.519
2.082,9.696
2.082,9.63
2.092,9.658
2.092,9.927
2.089,9.77
2.089,9.643
2.09,9.955
2.096,9.915
2.099,10.158
2.167,12.543
2.361,19.783
2.428,22.588
2.57,28.783
2.54,27.579
2.709,34.315
2.807,38.613
2.741,37.151
2.525,28.049
2.364,21.467
2.32,19.318
2.287,18.352
2.341,20.708
2.404,23.095
2.38,22.339
2.281,17.979
2.193,14.254
2.164,12.848
2.14,11.655
2.134,11.823
2.124,11.579
2.132,11.762
2.143,11.878
2.139,12.189
2.147,11.986
2.143,11.803
2.142,12.1
2.142,12.1
2.118,11.114
2.11,10.985
2.106,10.524
2.104,11.526
2.11,12.257
2.122,13.065
2.119,12.877
2.115,12.609
2.118,12.686
2.126,13.445
2.133,13.57
2.127,12.86
2.11,11.492
2.097,11.071
2.095,10.889
2.093,10.611
2.088,10.043
2.086,9.948
2.083,9.545
2.084,9.675
2.084,9.597
2.091,9.706
2.099,10.227
2.095,10.213
2.093,9.872
2.088,9.561
2.087,9.742
2.085,9.58
2.084,9.805
2.086,9.552
2.083,9.486
2.086,9.579
2.087,9.386
2.089,9.263
2.087,9.507
2.085,9.488
2.084,9.52
2.085,9.517
2.088,9.772
2.09,9.656
2.092,9.838
2.096,9.717
2.098,9.98
2.094,9.994
2.09,10.345
2.09,10.028
2.09,9.889
2.087,9.993
2.087,9.965
2.087,9.484
2.086,9.657
2.087,9.684
2.085,9.804
2.085,10.05
2.083,9.56
2.085,9.556
2.084,9.385
2.086,9.58
2.086,9.629
2.088,9.756
2.087,9.714
2.088,10.108
2.089,9.624
2.093,9.785
2.102,9.81
2.114,10.488
2.119,10.81
2.119,10.937
2.119,11.044
2.12,10.703
2.107,10.211
2.099,10.07
2.096,9.941
2.098,10.034
2.097,10.242
2.098,10.086
2.106,10.392
2.104,9.956
2.096,9.846
2.094,9.752
2.095,9.892
2.101,10.181
2.104,10.107
2.112,10.228
2.114,10.628
2.115,10.582
2.115,10.904
2.107,10.43
2.107,10.48
2.119,10.95
2.122,10.826
2.115,10.643
2.114,10.39
2.119,10.723
2.129,11.351
2.137,11.416
2.142,11.642
2.143,11.757
2.143,11.665
2.144,11.471
2.143,11.805
2.129,11.091
2.113,10.668
2.107,10.264
2.103,10.378
2.108,10.254
2.102,10.179
2.104,10.118
2.107,10.284
2.112,10.701
2.111,10.416
2.112,10.492
2.115,10.706
2.117,10.738
2.119,11.14
2.12,10.998
2.123,10.763
2.12,10.695
2.12,10.82
2.121,10.663
2.125,10.831
2.121,11.108
2.122,11.158
2.124,11.188
2.124,11.402
2.123,10.857
2.119,11.157
2.113,10.717
2.105,10.235
2.098,10.322
2.097,9.992
2.104,10.424
2.118,10.725
2.118,10.898
2.117,10.813
2.115,10.668
2.11,10.468
2.105,10.277
2.103,10.289
2.106,9.881
2.107,10.379
2.101,10.308
2.098,10.067
2.096,10.092
2.097,9.989
2.103,10.259
2.102,10.085
2.101,10.21
2.102,10.089
2.098,9.943
2.098,9.994
2.097,9.799
2.098,10.128
2.099,10.281
2.106,10.323
2.117,10.909
2.109,10.232
2.102,10.066
2.1,10.084
2.098,9.903
2.094,9.741
2.097,9.823
2.097,10.125
2.098,9.821
2.097,9.909
2.097,9.974
2.095,9.764
2.096,9.775
2.096,9.889
2.095,10.013
2.093,9.516
2.094,9.758
2.093,9.861
2.095,9.867
2.094,9.875
2.096,9.686
2.094,10.006
2.093,9.97
2.097,9.853
2.104,10.259
2.108,10.536
2.117,10.533
2.117,10.616
2.115,10.43
2.13,11.449
2.143,11.717
2.175,12.851
2.16,12.291
2.145,11.787
2.139,11.434
2.124,10.807
2.11,10.378
2.113,10.544
2.125,11.2
2.153,11.869
2.176,13.024
2.196,13.64
2.207,14.134
2.209,14.197
2.207,14.215
2.21,14.088
2.188,13.16
2.173,12.958
2.167,12.875
2.181,13.14
2.253,15.79
2.324,18.913
2.279,16.874
2.254,15.917
2.22,14.465
2.193,13.434
2.18,13.017
2.165,12.505
2.161,12.293
2.149,11.833
2.135,11.393
2.122,10.678
2.13,11.081
2.142,11.86
2.145,12.088
2.142,11.807
2.124,11.224
2.106,10.262
2.1,10.145
2.096,9.666
2.094,9.923
2.092,9.62
2.092,9.755
2.094,9.733
2.096,9.9
2.1,10.137
2.095,9.974
2.097,9.718
2.094,10.063
2.093,9.753
2.091,9.868
2.09,9.492
2.089,9.732
2.093,9.892
2.094,10.033
2.092,9.521
2.093,9.434
2.097,9.818
2.099,9.912
2.094,9.663
2.093,9.552
2.092,9.843
2.091,9.464
2.09,9.54
2.095,9.569
2.095,9.685
2.097,9.706
2.094,9.696
2.094,9.679
2.095,9.788
2.095,9.812
2.095,9.813
2.09,9.73
2.09,9.646
2.089,9.524
2.09,9.732
2.089,9.676
2.091,9.765
2.091,9.748
2.092,9.791
2.096,9.996
2.095,9.48
2.093,9.55
2.09,9.217
2.089,9.464
2.091,9.459
2.09,9.702
2.09,9.466
2.09,9.721
2.092,9.571
2.089,9.821
2.089,9.594
2.089,9.328
2.088,9.645
2.09,9.75
2.091,9.587
2.09,9.684
2.088,9.771
2.089,9.562
2.088,9.744
2.088,9.625
2.093,9.761
2.091,9.879
2.089,9.46
2.087,9.749
2.088,9.694
2.091,9.764
2.09,9.576
2.09,9.656
2.092,9.888
2.091,9.637
2.091,9.466
2.091,9.784
2.09,10.011
2.09,9.448
2.091,9.423
2.092,9.533
2.092,9.131
2.091,9.646
2.092,9.46
2.09,9.52
2.091,9.324
2.093,9.643
2.093,9.516
2.089,9.703
2.09,9.649
2.091,9.668
2.091,9.278
2.092,9.566
2.093,9.631
2.091,9.711
2.09,9.845
2.094,9.819
2.117,10.55
2.11,10.517
2.185,13.46
2.185,13.46
2.416,22.041
2.456,23.51
2.509,25.543
2.54,26.846
2.574,28.098
2.559,27.716
2.534,26.774
2.517,25.787
2.56,27.789
2.52,26.323
2.494,25.475
2.511,26.082
2.453,23.664
2.301,17.804
2.203,14.136
2.185,13.353
2.16,12.3
2.191,13.59
2.266,16.354
2.383,21.074
2.384,21.024
2.394,21.132
2.457,24.038
2.489,25.102
2.463,24.227
2.395,21.796
2.347,19.336
2.315,18.639
2.321,18.759
2.32,18.286
2.286,17.281
2.267,16.959
2.272,16.869
2.31,18.267
2.327,18.82
2.315,18.379
2.313,18.228
2.321,18.636
2.329,18.856
2.435,23.396
2.443,23.406
2.437,23.178
2.398,21.667
2.377,20.875
2.393,21.078
2.414,21.848
2.414,22.007
2.424,22.32
2.518,25.774
2.636,30.796
2.569,28.254
2.573,28.267
2.482,24.531
2.415,21.996
2.375,20.801
2.382,21.036
2.454,23.424
2.518,26.322
2.569,28.42
2.561,28.136
2.566,28.125
2.523,26.096
2.541,26.55
2.546,27.252
2.55,27.186
2.491,25.293
2.426,26.032
2.541,31.02
2.886,42.748
2.935,43.833
2.748,35.877
2.596,29.491
2.569,28.265
2.822,38.699
2.755,35.667
2.64,31.055
2.541,27.161
2.466,23.993
2.43,22.747
2.326,18.694
2.21,14.272
2.151,11.651
2.123,10.88
2.111,10.251
2.103,9.908
2.099,9.935
2.098,9.912
2.095,9.579
2.095,9.485
2.094,9.715
2.089,9.853
2.087,9.634
2.087,9.461
2.088,9.578
2.09,9.886
2.086,9.759
2.088,9.722
2.088,9.692
